Sammy Watkins,BUF,2015.0,8.0,65.0,935.0,6.0,0.0,0.0,0.0,160.0
Steve Smith,BAL,2015.0,9.0,70.0,945.0,5.0,0.0,0.0,0.0,159.5
Jeremy Maclin,KC,2015.0,9.0,66.0,902.0,6.0,0.0,0.0,0.0,159.2
Anquan Boldin,SF,2015.0,10.0,68.0,899.0,6.0,0.0,0.0,0.0,157.9
Amari Cooper,OAK,2015.0,6.0,66.0,898.0,6.0,0.0,0.0,0.0,156.8
Eric Decker,NYJ,2015.0,5.0,65.0,866.0,6.0,0.0,0.0,0.0,155.1
Charles Johnson,MIN,2015.0,5.0,63.0,857.0,6.0,0.0,0.0,0.0,153.2
Mike Wallace,MIN,2015.0,5.0,55.0,844.0,6.0,3.0,29.0,0.0,150.8
Roddy White,ATL,2015.0,10.0,71.0,850.0,5.0,0.0,0.0,0.0,150.5
Pierre Garcon,WAS,2015.0,8.0,70.0,851.0,5.0,0.0,0.0,0.0,150.1
John Brown,ARI,2015.0,9.0,59.0,817.0,6.0,0.0,0.0,0.0,147.2
Larry Fitzgerald,ARI,2015.0,9.0,71.0,858.0,4.0,0.0,0.0,0.0,145.3
Kendall Wright,TEN,2015.0,4.0,67.0,827.0,5.0,0.0,0.0,0.0,144.2
Allen Robinson,JAC,2015.0,8.0,64.0,815.0,5.0,0.0,0.0,0.0,143.5
Marques Colston,NO,2015.0,11.0,59.0,805.0,5.0,0.0,0.0,0.0,140.0
Markus Wheaton,PIT,2015.0,11.0,61.0,777.0,5.0,2.0,13.0,0.0,139.5
Torrey Smith,SF,2015.0,10.0,54.0,835.0,5.0,0.0,0.0,0.0,138.5
Doug Baldwin,SEA,2015.0,9.0,59.0,749.0,6.0,0.0,0.0,0.0,138.4
Rueben Randle,NYG,2015.0,11.0,59.0,787.0,5.0,0.0,0.0,0.0,138.2
Terrance Williams,DAL,2015.0,6.0,48.0,741.0,6.0,0.0,0.0,0.0,134.1
Nelson Agholor,PHI,2015.0,8.0,54.0,725.0,6.0,0.0,0.0,0.0,133.5
Devin Funchess,CAR,2015.0,5.0,57.0,767.0,5.0,0.0,0.0,0.0,133.2
Michael Floyd,ARI,2015.0,9.0,49.0,789.0,5.0,0.0,0.0,0.0,131.4
Kenny Britt,STL,2015.0,6.0,49.0,718.0,5.0,0.0,0.0,0.0,126.3
Kenny Stills,MIA,2015.0,5.0,50.0,729.0,5.0,0.0,0.0,0.0,125.9
Dwayne Bowe,CLE,2015.0,11.0,53.0,705.0,4.0,0.0,0.0,0.0,121.0
Malcom Floyd,SD,2015.0,10.0,44.0,682.0,5.0,0.0,0.0,0.0,118.2
Eddie Royal,CHI,2015.0,7.0,56.0,629.0,4.0,0.0,0.0,0.0,114.9
Steve Johnson,SD,2015.0,10.0,52.0,645.0,4.0,0.0,0.0,0.0,114.5
Percy Harvin,BUF,2015.0,8.0,50.0,555.0,3.0,13.0,77.0,1.0,112.2
Martavis Bryant,PIT,2015.0,11.0,41.0,617.0,5.0,0.0,0.0,0.0,112.2
Victor Cruz,NYG,2015.0,11.0,48.0,616.0,4.0,0.0,0.0,0.0,109.6
Brian Quick,STL,2015.0,6.0,46.0,615.0,4.0,0.0,0.0,0.0,108.5
Breshad Perriman,BAL,2015.0,9.0,40.0,577.0,4.0,0.0,0.0,0.0,101.7
Michael Crabtree,OAK,2015.0,6.0,39.0,549.0,4.0,0.0,0.0,0.0,98.4
Brandon Coleman,NO,2015.0,11.0,40.0,543.0,4.0,0.0,0.0,0.0,98.3
Cole Beasley,DAL,2015.0,6.0,44.0,487.0,4.0,0.0,0.0,0.0,94.7
Allen Hurns,JAC,2015.0,8.0,41.0,556.0,3.0,0.0,0.0,0.0,94.1
Tavon Austin,STL,2015.0,6.0,37.0,388.0,2.0,16.0,187.0,1.0,94.0
Andrew Hawkins,CLE,2015.0,11.0,41.0,541.0,3.0,2.0,21.0,0.0,92.7
Harry Douglas,TEN,2015.0,4.0,42.0,541.0,3.0,0.0,0.0,0.0,91.1
Cody Latimer,DEN,2015.0,7.0,39.0,524.0,3.0,0.0,0.0,0.0,89.9
Philly Brown,CAR,2015.0,5.0,38.0,525.0,3.0,0.0,0.0,0.0,89.5
Brandon LaFell,NE,2015.0,4.0,36.0,472.0,4.0,0.0,0.0,0.0,89.2
Greg Jennings,MIA,2015.0,5.0,40.0,512.0,3.0,0.0,0.0,0.0,89.2
James Jones,GB,2015.0,7.0,34.0,465.0,4.0,0.0,0.0,0.0,87.5
Marvin Jones,CIN,2015.0,7.0,35.0,479.0,4.0,0.0,0.0,0.0,87.4
Andre Roberts,WAS,2015.0,8.0,40.0,487.0,3.0,0.0,0.0,0.0,86.7
Brian Hartline,CLE,2015.0,11.0,38.0,486.0,3.0,0.0,0.0,0.0,85.6
Kamar Aiken,BAL,2015.0,9.0,36.0,447.0,3.0,0.0,0.0,0.0,80.7
Cordarrelle Patterson,MIN,2015.0,5.0,28.0,356.0,2.0,12.0,126.0,1.0,80.2
Dorial Green-Beckham,TEN,2015.0,4.0,33.0,446.0,3.0,0.0,0.0,0.0,79.1
Cecil Shorts,HOU,2015.0,9.0,36.0,489.0,2.0,0.0,0.0,0.0,78.9
Danny Amendola,NE,2015.0,4.0,37.0,417.0,3.0,0.0,0.0,0.0,78.2
Mohamed Sanu,CIN,2015.0,7.0,32.0,425.0,3.0,0.0,0.0,0.0,76.5
Tyler Lockett,SEA,2015.0,9.0,30.0,435.0,3.0,0.0,0.0,0.0,76.5
Jermaine Kearse,SEA,2015.0,9.0,35.0,456.0,2.0,0.0,0.0,0.0,75.1
Jerricho Cotchery,CAR,2015.0,5.0,34.0,406.0,3.0,0.0,0.0,0.0,73.6
DeVante Parker,MIA,2015.0,5.0,28.0,415.0,3.0,0.0,0.0,0.0,73.5
Jarius Wright,MIN,2015.0,5.0,33.0,446.0,2.0,0.0,0.0,0.0,73.1
Phillip Dorsett,IND,2015.0,10.0,27.0,436.0,3.0,0.0,0.0,0.0,73.1
Jeremy Kerley,NYJ,2015.0,5.0,30.0,389.0,3.0,0.0,0.0,0.0,71.9
Rod Streater,OAK,2015.0,6.0,32.0,419.0,2.0,0.0,0.0,0.0,69.9
Josh Huff,PHI,2015.0,8.0,27.0,366.0,3.0,0.0,0.0,0.0,68.1
Donte Moncrief,IND,2015.0,10.0,26.0,362.0,3.0,0.0,0.0,0.0,67.2
Robert Woods,BUF,2015.0,8.0,28.0,385.0,2.0,0.0,0.0,0.0,64.5
Marquess Wilson,CHI,2015.0,7.0,25.0,395.0,2.0,0.0,0.0,0.0,64.0
Riley Cooper,PHI,2015.0,8.0,26.0,370.0,2.0,0.0,0.0,0.0,62.0
Albert Wilson,KC,2015.0,9.0,25.0,375.0,2.0,0.0,0.0,0.0,62.0
Jaelen Strong,HOU,2015.0,9.0,24.0,365.0,2.0,0.0,0.0,0.0,60.5
Ty Montgomery,GB,2015.0,7.0,28.0,365.0,2.0,0.0,0.0,0.0,60.5
Marqise Lee,JAC,2015.0,8.0,29.0,382.0,1.0,0.0,0.0,0.0,58.7
Nate Washington,HOU,2015.0,9.0,22.0,344.0,2.0,0.0,0.0,0.0,57.4
Taylor Gabriel,CLE,2015.0,11.0,23.0,335.0,2.0,0.0,0.0,0.0,57.0
Aaron Dobson,NE,2015.0,4.0,24.0,329.0,2.0,0.0,0.0,0.0,56.9
Chris Conley,KC,2015.0,9.0,24.0,316.0,2.0,0.0,0.0,0.0,55.6
Justin Hardy,ATL,2015.0,10.0,24.0,315.0,2.0,0.0,0.0,0.0,55.5
Louis Murphy,TB,2015.0,6.0,28.0,336.0,1.0,0.0,0.0,0.0,51.6
Lance Moore,DET,2015.0,9.0,22.0,285.0,2.0,0.0,0.0,0.0,51.5
Marlon Brown,BAL,2015.0,9.0,23.0,279.0,2.0,0.0,0.0,0.0,51.4
Leonard Hankerson,ATL,2015.0,10.0,20.0,272.0,2.0,0.0,0.0,0.0,49.2
Quinton Patton,SF,2015.0,10.0,21.0,266.0,2.0,0.0,0.0,0.0,49.1
Dontrelle Inman,SD,2015.0,10.0,22.0,287.0,1.0,0.0,0.0,0.0,45.7
Travis Benjamin,CLE,2015.0,11.0,19.0,299.0,1.0,0.0,0.0,0.0,45.4
Kevin White,CHI,2015.0,7.0,21.0,287.0,1.0,0.0,0.0,0.0,43.2
Justin Hunter,TEN,2015.0,4.0,15.0,231.0,1.0,0.0,0.0,0.0,36.6
Devin Hester,ATL,2015.0,10.0,16.0,215.0,1.0,0.0,0.0,0.0,35.5
Joe Morgan,NO,2015.0,11.0,13.0,225.0,1.0,0.0,0.0,0.0,35.0
Andre Holmes,OAK,2015.0,6.0,13.0,205.0,1.0,0.0,0.0,0.0,33.0
Devin Smith,NYJ,2015.0,5.0,10.0,154.0,2.0,0.0,0.0,0.0,32.4
Stedman Bailey,STL,2015.0,6.0,14.0,189.0,1.0,0.0,0.0,0.0,31.9
Ted Ginn Jr.,CAR,2015.0,5.0,13.0,169.0,1.0,3.0,21.0,0.0,31.5
Preston Parker,NYG,2015.0,11.0,14.0,182.0,1.0,0.0,0.0,0.0,31.2
Jason Avant,KC,2015.0,9.0,15.0,184.0,0.0,0.0,0.0,0.0,25.9
Jeff Janis,GB,2015.0,7.0,11.0,142.0,1.0,0.0,0.0,0.0,25.7
Miles Austin,PHI,2015.0,8.0,11.0,136.0,1.0,0.0,0.0,0.0,25.1
Chris Hogan,BUF,2015.0,8.0,10.0,142.0,1.0,0.0,0.0,0.0,23.2
Rashad Greene,JAC,2015.0,8.0,11.0,177.0,0.0,0.0,0.0,0.0,23.2
Ryan Grant,WAS,2015.0,8.0,9.0,111.0,1.0,0.0,0.0,0.0,21.6
Darrius Heyward-Bey,PIT,2015.0,11.0,9.0,118.0,1.0,0.0,0.0,0.0,20.3
Devin Street,DAL,2015.0,6.0,11.0,145.0,0.0,0.0,0.0,0.0,20.0
Chris Givens,STL,2015.0,6.0,9.0,146.0,0.0,0.0,0.0,0.0,19.1
Sammie Coates,PIT,2015.0,11.0,10.0,140.0,0.0,0.0,0.0,0.0,19.0
Corey Fuller,DET,2015.0,9.0,10.0,131.0,0.0,0.0,0.0,0.0,18.1
Andre Caldwell,DEN,2015.0,7.0,9.0,129.0,0.0,0.0,0.0,0.0,17.4
Marquise Goodwin,BUF,2015.0,8.0,9.0,115.0,0.0,0.0,0.0,0.0,16.0
Brandon Tate,CIN,2015.0,7.0,9.0,114.0,0.0,0.0,0.0,0.0,15.9
Bruce Ellington,SF,2015.0,10.0,6.0,82.0,0.0,0.0,0.0,0.0,11.2
Michael Campanaro,BAL,2015.0,9.0,6.0,76.0,0.0,0.0,0.0,0.0,10.6
Paul Richardson,SEA,2015.0,9.0,5.0,77.0,0.0,0.0,0.0,0.0,10.2
Ricardo Lockette,SEA,2015.0,9.0,1.0,19.0,0.0,0.0,0.0,0.0,2.4
Frankie Hammond Jr.,KC,2015.0,9.0,1.0,16.0,0.0,0.0,0.0,0.0,2.1
Antonio Brown,PIT,2016.0,8.0,118.0,1626.0,12.0,5.0,28.0,0.0,294.4
Julio Jones,ATL,2016.0,11.0,116.0,1629.0,10.0,0.0,0.0,0.0,278.9
DeAndre Hopkins,HOU,2016.0,9.0,105.0,1456.0,10.0,0.0,0.0,0.0,256.1
Odell Beckham Jr.,NYG,2016.0,8.0,94.0,1380.0,12.0,0.0,0.0,0.0,255.0
Keenan Allen,SD,2016.0,11.0,115.0,1380.0,8.0,0.0,0.0,0.0,241.5
Allen Robinson,JAC,2016.0,5.0,92.0,1248.0,11.0,0.0,0.0,0.0,236.8
A.J. Green,CIN,2016.0,9.0,89.0,1286.0,10.0,0.0,0.0,0.0,231.1
Dez Bryant,DAL,2016.0,7.0,82.0,1157.0,11.0,0.0,0.0,0.0,220.7
Brandon Marshall,NYJ,2016.0,11.0,83.0,1177.0,9.0,0.0,0.0,0.0,211.2
Mike Evans,TB,2016.0,6.0,84.0,1267.0,7.0,0.0,0.0,0.0,208.7
Alshon Jeffery,CHI,2016.0,9.0,81.0,1185.0,8.0,1.0,11.0,0.0,208.1
Jordy Nelson,GB,2016.0,4.0,78.0,1145.0,9.0,0.0,0.0,0.0,207.5
Amari Cooper,OAK,2016.0,10.0,86.0,1165.0,8.0,0.0,0.0,0.0,205.5
Brandin Cooks,NO,2016.0,5.0,82.0,1104.0,8.0,6.0,37.0,0.0,203.1
T.Y. Hilton,IND,2016.0,10.0,75.0,1188.0,8.0,0.0,0.0,0.0,202.3
Sammy Watkins,BUF,2016.0,10.0,80.0,1201.0,7.0,0.0,0.0,0.0,200.1
Jarvis Landry,MIA,2016.0,8.0,93.0,1088.0,6.0,14.0,86.0,0.0,195.9
Golden Tate,DET,2016.0,10.0,86.0,1067.0,6.0,5.0,35.0,0.0,187.2
Jeremy Maclin,KC,2016.0,5.0,83.0,1045.0,7.0,0.0,0.0,0.0,186.0
Demaryius Thomas,DEN,2016.0,11.0,80.0,1055.0,7.0,0.0,0.0,0.0,185.5
Michael Floyd,ARI,2016.0,9.0,71.0,1007.0,8.0,0.0,0.0,0.0,182.2
Larry Fitzgerald,ARI,2016.0,9.0,80.0,950.0,8.0,0.0,0.0,0.0,181.0
DeSean Jackson,WAS,2016.0,9.0,69.0,1088.0,6.0,4.0,19.0,0.0,179.2
Donte Moncrief,IND,2016.0,10.0,75.0,1010.0,7.0,0.0,0.0,0.0,178.5
Randall Cobb,GB,2016.0,4.0,74.0,946.0,7.0,11.0,45.0,0.0,176.1
Eric Decker,NYJ,2016.0,11.0,72.0,945.0,7.0,0.0,0.0,0.0,170.5
Tyler Lockett,SEA,2016.0,5.0,82.0,846.0,7.0,5.0,35.0,0.0,169.1
Doug Baldwin,SEA,2016.0,5.0,69.0,915.0,7.0,0.0,0.0,0.0,168.0
Michael Crabtree,OAK,2016.0,10.0,72.0,855.0,7.0,0.0,0.0,0.0,163.5
Allen Hurns,JAC,2016.0,5.0,58.0,875.0,7.0,0.0,0.0,0.0,158.5
Julian Edelman,NE,2016.0,9.0,73.0,866.0,5.0,5.0,37.0,0.0,154.8
Tavon Austin,LAR,2016.0,8.0,51.0,511.0,4.0,53.0,396.0,3.0,154.2
Torrey Smith,SF,2016.0,8.0,66.0,889.0,5.0,0.0,0.0,0.0,151.9
Willie Snead,NO,2016.0,5.0,64.0,887.0,5.0,0.0,0.0,0.0,150.7
Kelvin Benjamin,CAR,2016.0,7.0,60.0,792.0,6.0,0.0,0.0,0.0,143.2
Jordan Matthews,PHI,2016.0,4.0,65.0,817.0,5.0,0.0,0.0,0.0,142.2
John Brown,ARI,2016.0,9.0,53.0,789.0,6.0,2.0,17.0,0.0,141.1
Stefon Diggs,MIN,2016.0,6.0,60.0,816.0,5.0,0.0,0.0,0.0,139.6
Kevin White,CHI,2016.0,9.0,49.0,768.0,6.0,0.0,0.0,0.0,137.3
Emmanuel Sanders,DEN,2016.0,11.0,54.0,765.0,5.0,4.0,31.0,0.0,136.6
Marvin Jones,DET,2016.0,10.0,57.0,777.0,5.0,0.0,0.0,0.0,136.2
Corey Coleman,CLE,2016.0,13.0,55.0,745.0,5.0,0.0,0.0,0.0,130.0
Rishard Matthews,TEN,2016.0,13.0,58.0,778.0,4.0,0.0,0.0,0.0,128.8
Sterling Shepard,NYG,2016.0,8.0,51.0,701.0,5.0,0.0,0.0,0.0,125.6
Markus Wheaton,PIT,2016.0,8.0,51.0,745.0,4.0,5.0,24.0,0.0,124.4
DeVante Parker,MIA,2016.0,8.0,49.0,716.0,5.0,0.0,0.0,0.0,124.1
Vincent Jackson,TB,2016.0,6.0,53.0,715.0,4.0,0.0,0.0,0.0,122.0
Steve Smith,BAL,2016.0,8.0,49.0,639.0,5.0,0.0,0.0,0.0,118.4
Mohamed Sanu,ATL,2016.0,11.0,48.0,613.0,5.0,0.0,0.0,0.0,113.3
Mike Wallace,BAL,2016.0,8.0,43.0,675.0,4.0,0.0,0.0,0.0,113.0
Phillip Dorsett,IND,2016.0,10.0,49.0,625.0,4.0,2.0,10.0,0.0,112.0
Terrance Williams,DAL,2016.0,7.0,39.0,613.0,4.0,0.0,0.0,0.0,104.8
Chris Hogan,NE,2016.0,9.0,47.0,566.0,4.0,0.0,0.0,0.0,104.1
Travis Benjamin,SD,2016.0,11.0,41.0,575.0,4.0,0.0,0.0,0.0,102.0
Ted Ginn Jr.,CAR,2016.0,7.0,36.0,535.0,5.0,0.0,0.0,0.0,101.5
Kamar Aiken,BAL,2016.0,8.0,51.0,576.0,3.0,0.0,0.0,0.0,101.1
Pierre Garcon,WAS,2016.0,9.0,46.0,566.0,3.0,0.0,0.0,0.0,97.6
Josh Gordon,CLE,2016.0,13.0,42.0,596.0,3.0,0.0,0.0,0.0,96.6
Nelson Agholor,PHI,2016.0,4.0,39.0,525.0,4.0,0.0,0.0,0.0,96.0
Tajae Sharpe,TEN,2016.0,13.0,42.0,566.0,3.0,0.0,0.0,0.0,95.6
Robert Woods,BUF,2016.0,10.0,43.0,575.0,3.0,0.0,0.0,0.0,95.0
Will Fuller,HOU,2016.0,9.0,37.0,525.0,4.0,0.0,0.0,0.0,95.0
Kenny Britt,LAR,2016.0,8.0,36.0,567.0,3.0,0.0,0.0,0.0,90.7
Danny Amendola,NE,2016.0,9.0,44.0,497.0,3.0,0.0,0.0,0.0,89.7
Anquan Boldin,DET,2016.0,10.0,36.0,467.0,4.0,0.0,0.0,0.0,86.7
Kenny Stills,MIA,2016.0,8.0,36.0,485.0,3.0,0.0,0.0,0.0,84.5
Jaelen Strong,HOU,2016.0,9.0,36.0,495.0,3.0,0.0,0.0,0.0,83.5
Laquon Treadwell,MIN,2016.0,6.0,33.0,478.0,3.0,0.0,0.0,0.0,82.3
Tyler Boyd,CIN,2016.0,9.0,35.0,465.0,3.0,0.0,0.0,0.0,82.0
Seth Roberts,OAK,2016.0,10.0,33.0,472.0,3.0,0.0,0.0,0.0,81.7
Eli Rogers,PIT,2016.0,8.0,35.0,448.0,3.0,0.0,0.0,0.0,80.3
Michael Thomas,NO,2016.0,5.0,30.0,457.0,3.0,0.0,0.0,0.0,78.7
Cole Beasley,DAL,2016.0,7.0,38.0,426.0,3.0,0.0,0.0,0.0,77.6
Jermaine Kearse,SEA,2016.0,5.0,34.0,435.0,3.0,0.0,0.0,0.0,76.5
Quinton Patton,SF,2016.0,8.0,36.0,456.0,2.0,0.0,0.0,0.0,75.6
Devin Funchess,CAR,2016.0,7.0,33.0,422.0,3.0,0.0,0.0,0.0,74.7
Kendall Wright,TEN,2016.0,13.0,36.0,436.0,2.0,0.0,0.0,0.0,73.6
Sammie Coates,PIT,2016.0,8.0,30.0,381.0,3.0,0.0,0.0,0.0,71.1
Brandon LaFell,CIN,2016.0,9.0,31.0,422.0,2.0,0.0,0.0,0.0,69.7
Chris Conley,KC,2016.0,5.0,33.0,412.0,2.0,0.0,0.0,0.0,69.7
Josh Doctson,WAS,2016.0,9.0,26.0,346.0,3.0,0.0,0.0,0.0,65.6
Eddie Royal,CHI,2016.0,9.0,29.0,385.0,2.0,0.0,0.0,0.0,65.0
Davante Adams,GB,2016.0,4.0,29.0,379.0,2.0,0.0,0.0,0.0,64.4
Dorial Green-Beckham,PHI,2016.0,4.0,25.0,389.0,2.0,0.0,0.0,0.0,63.4
Quincy Enunwa,NYJ,2016.0,11.0,29.0,365.0,2.0,0.0,0.0,0.0,63.0
Jamison Crowder,WAS,2016.0,9.0,31.0,355.0,2.0,0.0,0.0,0.0,63.0
Terrelle Pryor,CLE,2016.0,13.0,26.0,369.0,2.0,0.0,0.0,0.0,61.9
Bennie Fowler,DEN,2016.0,11.0,30.0,343.0,2.0,0.0,0.0,0.0,61.3
Marqise Lee,JAC,2016.0,5.0,26.0,355.0,2.0,0.0,0.0,0.0,60.5
Charles Johnson,MIN,2016.0,6.0,26.0,355.0,2.0,0.0,0.0,0.0,60.5
Dwayne Harris,NYG,2016.0,8.0,27.0,342.0,2.0,0.0,0.0,0.0,59.7
Breshad Perriman,BAL,2016.0,8.0,24.0,339.0,2.0,0.0,0.0,0.0,57.9
Andrew Hawkins,CLE,2016.0,13.0,26.0,312.0,2.0,4.0,28.0,0.0,57.0
Andre Holmes,OAK,2016.0,10.0,23.0,314.0,2.0,0.0,0.0,0.0,54.9
Justin Hardy,ATL,2016.0,11.0,23.0,313.0,2.0,0.0,0.0,0.0,54.8
Adam Humphries,TB,2016.0,6.0,23.0,313.0,2.0,0.0,0.0,0.0,54.8
Braxton Miller,HOU,2016.0,9.0,21.0,284.0,2.0,0.0,0.0,0.0,50.9
Brian Quick,LAR,2016.0,8.0,24.0,325.0,1.0,0.0,0.0,0.0,50.5
Albert Wilson,KC,2016.0,5.0,24.0,314.0,1.0,3.0,21.0,0.0,49.5
Victor Cruz,NYG,2016.0,8.0,20.0,256.0,2.0,0.0,0.0,0.0,47.6
Jeff Janis,GB,2016.0,4.0,18.0,255.0,2.0,0.0,0.0,0.0,46.5
Leonte Carroo,MIA,2016.0,8.0,19.0,247.0,2.0,0.0,0.0,0.0,46.2
Cody Latimer,DEN,2016.0,11.0,22.0,289.0,1.0,0.0,0.0,0.0,45.9
Cordarrelle Patterson,MIN,2016.0,6.0,24.0,311.0,0.0,2.0,15.0,0.0,44.6
Jarius Wright,MIN,2016.0,6.0,21.0,266.0,1.0,0.0,0.0,0.0,43.1
Andre Johnson,TEN,2016.0,13.0,17.0,226.0,2.0,0.0,0.0,0.0,43.1
Brandon Coleman,NO,2016.0,5.0,16.0,211.0,2.0,0.0,0.0,0.0,41.1
Josh Bellamy,CHI,2016.0,9.0,15.0,245.0,1.0,0.0,0.0,0.0,38.0
Rod Streater,SF,2016.0,8.0,17.0,229.0,1.0,0.0,0.0,0.0,37.4
Darrius Heyward-Bey,PIT,2016.0,8.0,15.0,235.0,1.0,0.0,0.0,0.0,37.0
J.J. Nelson,ARI,2016.0,9.0,15.0,235.0,1.0,0.0,0.0,0.0,37.0
Dontrelle Inman,SD,2016.0,11.0,16.0,226.0,1.0,0.0,0.0,0.0,36.6
Malcolm Mitchell,NE,2016.0,9.0,16.0,221.0,1.0,0.0,0.0,0.0,36.1
Rashad Greene,JAC,2016.0,5.0,17.0,213.0,1.0,0.0,0.0,0.0,35.8
Jeremy Kerley,SF,2016.0,8.0,16.0,217.0,1.0,0.0,0.0,0.0,35.7
Josh Huff,PHI,2016.0,4.0,15.0,214.0,1.0,0.0,0.0,0.0,34.9
Quan Bray,IND,2016.0,10.0,13.0,215.0,1.0,0.0,0.0,0.0,34.0
Stedman Bailey,LAR,2016.0,8.0,17.0,222.0,0.0,0.0,0.0,0.0,30.7
Andre Roberts,DET,2016.0,10.0,13.0,175.0,1.0,0.0,0.0,0.0,30.0
Jaron Brown,ARI,2016.0,9.0,12.0,177.0,1.0,0.0,0.0,0.0,29.7
Kolby Listenbee,BUF,2016.0,10.0,12.0,175.0,1.0,0.0,0.0,0.0,29.5
Tyreek Hill,KC,2016.0,5.0,14.0,156.0,1.0,0.0,0.0,0.0,28.6
Devin Smith,NYJ,2016.0,11.0,11.0,165.0,1.0,0.0,0.0,0.0,28.0
Aldrick Robinson,ATL,2016.0,11.0,11.0,155.0,1.0,0.0,0.0,0.0,27.0
Ty Montgomery,GB,2016.0,4.0,11.0,146.0,1.0,0.0,0.0,0.0,26.1
Louis Murphy,TB,2016.0,6.0,11.0,145.0,1.0,0.0,0.0,0.0,26.0
Pharoh Cooper,LAR,2016.0,8.0,14.0,186.0,0.0,0.0,0.0,0.0,25.6
Marquise Goodwin,BUF,2016.0,10.0,9.0,148.0,1.0,0.0,0.0,0.0,25.3
Marquess Wilson,CHI,2016.0,9.0,13.0,176.0,0.0,0.0,0.0,0.0,24.1
Philly Brown,CAR,2016.0,7.0,12.0,146.0,0.0,0.0,0.0,0.0,20.6
Brice Butler,DAL,2016.0,7.0,10.0,141.0,0.0,0.0,0.0,0.0,19.1
Paul Richardson,SEA,2016.0,5.0,8.0,116.0,0.0,0.0,0.0,0.0,15.6
Jordan Norwood,DEN,2016.0,11.0,7.0,89.0,0.0,0.0,0.0,0.0,12.4
Taylor Gabriel,ATL,2016.0,11.0,7.0,88.0,0.0,0.0,0.0,0.0,12.3
Bryan Walters,JAC,2016.0,5.0,7.0,77.0,0.0,0.0,0.0,0.0,11.2
Kevin Norwood,CAR,2016.0,7.0,6.0,78.0,0.0,0.0,0.0,0.0,10.8
Mike Thomas,LAR,2016.0,8.0,6.0,77.0,0.0,0.0,0.0,0.0,10.7
Marcus Easley,BUF,2016.0,10.0,5.0,78.0,0.0,0.0,0.0,0.0,10.3
Harry Douglas,TEN,2016.0,13.0,5.0,72.0,0.0,0.0,0.0,0.0,9.7
Jared Abbrederis,GB,2016.0,4.0,5.0,72.0,0.0,0.0,0.0,0.0,9.7
Corey Fuller,DET,2016.0,10.0,4.0,55.0,0.0,0.0,0.0,0.0,7.5
Russell Shepard,TB,2016.0,6.0,5.0,49.0,0.0,0.0,0.0,0.0,7.4
Javontee Herndon,SD,2016.0,11.0,3.0,55.0,0.0,0.0,0.0,0.0,7.0
Jakeem Grant,MIA,2016.0,8.0,4.0,46.0,0.0,0.0,0.0,0.0,6.6
Aaron Burbridge,SF,2016.0,8.0,3.0,45.0,0.0,0.0,0.0,0.0,6.0
Ryan Grant,WAS,2016.0,9.0,3.0,44.0,0.0,0.0,0.0,0.0,5.9
Demarcus Robinson,KC,2016.0,5.0,3.0,37.0,0.0,0.0,0.0,0.0,5.2
