Rob Gronkowski,NE,2014.0,15.0,131.0,82.0,1124.0,12.0,225.4,15.0
Antonio Gates,SD,2014.0,16.0,98.0,69.0,821.0,12.0,188.6,11.8
Jimmy Graham,NO,2014.0,15.0,125.0,85.0,889.0,10.0,187.4,12.5
Greg Olsen,CAR,2014.0,16.0,123.0,84.0,1008.0,6.0,178.8,11.2
Martellus Bennett,CHI,2014.0,16.0,128.0,90.0,916.0,6.0,172.6,10.8
Coby Fleener,IND,2014.0,16.0,92.0,51.0,774.0,8.0,150.9,9.4
Delanie Walker,TEN,2014.0,15.0,106.0,63.0,890.0,4.0,144.5,9.6
Travis Kelce,KC,2014.0,16.0,87.0,67.0,862.0,5.0,143.7,9.0
Julius Thomas,DEN,2014.0,12.0,62.0,43.0,489.0,12.0,142.4,11.9
Jason Witten,DAL,2014.0,16.0,90.0,64.0,703.0,5.0,132.3,8.3
Heath Miller,PIT,2014.0,16.0,91.0,66.0,761.0,3.0,125.1,7.8
Larry Donnell,NYG,2014.0,16.0,92.0,63.0,623.0,6.0,121.8,7.6
Zach Ertz,PHI,2014.0,16.0,88.0,58.0,702.0,3.0,115.2,7.2
Charles Clay,MIA,2014.0,14.0,84.0,58.0,605.0,3.0,107.5,7.7
Jared Cook,STL,2014.0,16.0,98.0,52.0,634.0,3.0,107.4,6.7
Jermaine Gresham,CIN,2014.0,15.0,80.0,62.0,460.0,5.0,107.0,7.1
Mychal Rivera,OAK,2014.0,16.0,100.0,58.0,534.0,4.0,104.4,6.5
Dwayne Allen,IND,2014.0,12.0,50.0,29.0,395.0,8.0,102.0,8.5
Owen Daniels,BAL,2014.0,15.0,78.0,48.0,527.0,4.0,100.7,6.7
Scott Chandler,BUF,2014.0,16.0,71.0,47.0,497.0,3.0,91.2,5.7
Tim Wright,NE,2014.0,12.0,33.0,26.0,259.0,6.0,74.7,6.2
Niles Paul,WAS,2014.0,15.0,52.0,39.0,507.0,1.0,74.2,4.9
Jordan Reed,WAS,2014.0,11.0,65.0,50.0,465.0,0.0,69.5,6.3
Lance Kendricks,STL,2014.0,16.0,38.0,27.0,259.0,5.0,69.4,4.3
Jordan Cameron,CLE,2014.0,10.0,48.0,24.0,424.0,2.0,66.4,6.6
Jace Amaro,NYJ,2014.0,13.0,53.0,38.0,345.0,2.0,65.5,5.0
Luke Willson,SEA,2014.0,12.0,39.0,22.0,362.0,3.0,65.2,5.4
Andrew Quarless,GB,2014.0,15.0,46.0,29.0,323.0,3.0,64.8,4.3
Anthony Fasano,KC,2014.0,14.0,37.0,25.0,226.0,4.0,59.1,4.2
John Carlson,ARI,2014.0,16.0,54.0,33.0,350.0,1.0,57.5,3.6
Josh Hill,NO,2014.0,12.0,20.0,14.0,176.0,5.0,54.6,4.6
Jeff Cumberland,NYJ,2014.0,15.0,47.0,23.0,247.0,3.0,54.2,3.6
Brent Celek,PHI,2014.0,16.0,52.0,32.0,340.0,1.0,54.0,3.4
Dion Sims,MIA,2014.0,14.0,36.0,24.0,284.0,2.0,52.4,3.7
Vernon Davis,SF,2014.0,13.0,50.0,26.0,245.0,2.0,49.9,3.8
Levine Toilolo,ATL,2014.0,15.0,53.0,31.0,238.0,2.0,49.3,3.3
Daniel Fells,NYG,2014.0,12.0,20.0,16.0,188.0,4.0,48.8,4.1
Clay Harbor,JAC,2014.0,9.0,35.0,26.0,288.0,1.0,47.8,5.3
Kyle Rudolph,MIN,2014.0,7.0,34.0,24.0,231.0,2.0,47.1,6.7
Richard Rodgers,GB,2014.0,13.0,30.0,20.0,225.0,2.0,44.5,3.4
Eric Ebron,DET,2014.0,13.0,49.0,25.0,248.0,1.0,43.3,3.3
Chase Ford,MIN,2014.0,10.0,35.0,23.0,258.0,1.0,43.3,4.3
Austin Seferian-Jenkins,TB,2014.0,9.0,38.0,21.0,221.0,2.0,42.6,4.7
Marcedes Lewis,JAC,2014.0,8.0,31.0,18.0,206.0,2.0,41.6,5.2
Gavin Escobar,DAL,2014.0,10.0,13.0,9.0,105.0,4.0,39.0,3.9
Jim Dray,CLE,2014.0,13.0,27.0,17.0,242.0,1.0,38.7,3.0
Cooper Helfet,SEA,2014.0,8.0,24.0,12.0,185.0,2.0,36.5,4.6
Rhett Ellison,MIN,2014.0,14.0,26.0,19.0,208.0,1.0,36.3,2.6
