Antonio Gates,SD,2010.0,10.0,77.0,945.0,8.0,179.0
Jermichael Finley,GB,2010.0,10.0,81.0,962.0,7.0,178.7
Vernon Davis,SF,2010.0,9.0,76.0,874.0,8.0,173.4
Tony Gonzalez,ATL,2010.0,8.0,82.0,882.0,7.0,171.2
Jason Witten,DAL,2010.0,4.0,81.0,945.0,6.0,169.0
Dallas Clark,IND,2010.0,7.0,77.0,855.0,8.0,168.0
Brent Celek,PHI,2010.0,8.0,81.0,848.0,6.0,161.3
Kellen Winslow,TB,2010.0,4.0,71.0,785.0,6.0,148.0
Zach Miller,OAK,2010.0,10.0,67.0,775.0,5.0,139.0
John Carlson,SEA,2010.0,5.0,67.0,679.0,6.0,137.4
Heath Miller,PIT,2010.0,5.0,57.0,656.0,6.0,130.1
Visanthe Shiancoe,MIN,2010.0,4.0,63.0,675.0,5.0,127.0
Chris Cooley,WAS,2010.0,9.0,53.0,615.0,5.0,116.0
Owen Daniels,HOU,2010.0,7.0,55.0,642.0,4.0,113.7
Greg Olsen,CHI,2010.0,8.0,49.0,543.0,5.0,108.8
Dustin Keller,NYJ,2010.0,7.0,53.0,615.0,3.0,106.0
Jeremy Shockey,NO,2010.0,10.0,50.0,555.0,4.0,100.5
Todd Heap,BAL,2010.0,8.0,49.0,529.0,4.0,99.4
Marcedes Lewis,JAC,2010.0,9.0,50.0,553.0,3.0,98.3
Kevin Boss,NYG,2010.0,8.0,48.0,496.0,3.0,91.6
Bo Scaife,TEN,2010.0,9.0,44.0,472.0,3.0,85.2
Fred Davis,WAS,2010.0,9.0,42.0,446.0,3.0,83.6
Ben Watson,CLE,2010.0,8.0,41.0,415.0,3.0,80.0
Anthony Fasano,MIA,2010.0,5.0,42.0,415.0,3.0,78.5
Tony Scheffler,DET,2010.0,7.0,34.0,396.0,3.0,72.6
Daniel Graham,DEN,2010.0,9.0,33.0,350.0,3.0,69.5
Dante Rosario,CAR,2010.0,6.0,39.0,375.0,2.0,69.0
Jermaine Gresham,CIN,2010.0,6.0,33.0,345.0,2.0,63.0
Daniel Fells,STL,2010.0,9.0,30.0,348.0,2.0,61.8
Aaron Hernandez,NE,2010.0,5.0,25.0,288.0,2.0,53.3
Leonard Pope,KC,2010.0,4.0,26.0,256.0,2.0,50.6
David Thomas,NO,2010.0,10.0,26.0,287.0,2.0,49.7
Gary Barnidge,CAR,2010.0,6.0,24.0,265.0,1.0,44.5
Jared Cook,TEN,2010.0,9.0,20.0,214.0,2.0,43.4
Evan Moore,CLE,2010.0,8.0,24.0,256.0,1.0,41.6
Brandon Pettigrew,DET,2010.0,7.0,23.0,245.0,1.0,40.0
Donald Lee,GB,2010.0,10.0,17.0,193.0,2.0,39.8
Jerramy Stevens,TB,2010.0,4.0,19.0,213.0,1.0,36.8
Tony Moeaki,KC,2010.0,4.0,19.0,189.0,1.0,34.4
Ben Patrick,ARI,2010.0,6.0,19.0,184.0,1.0,33.9
Zach Miller,JAC,2010.0,9.0,18.0,185.0,1.0,33.5
Alge Crumpler,NE,2010.0,5.0,13.0,150.0,2.0,33.5
Shawn Nelson,BUF,2010.0,6.0,19.0,199.0,1.0,33.4
Michael Hoomanawanui,STL,2010.0,9.0,16.0,188.0,1.0,32.8
Delanie Walker,SF,2010.0,9.0,16.0,186.0,1.0,32.6
Jeff King,CAR,2010.0,6.0,13.0,145.0,1.0,27.0
James Casey,HOU,2010.0,7.0,13.0,156.0,1.0,26.1
Desmond Clark,CHI,2010.0,8.0,13.0,156.0,1.0,26.1
Martellus Bennett,DAL,2010.0,4.0,12.0,137.0,1.0,25.7
Daniel Coats,CIN,2010.0,6.0,12.0,122.0,1.0,24.2
