Devonta Freeman,ATL,2015.0,15.0,264.0,1061.0,11.0,97.0,73.0,578.0,3.0,280.4,18.7
Adrian Peterson,MIN,2015.0,16.0,327.0,1485.0,11.0,36.0,30.0,222.0,0.0,245.7,15.4
Doug Martin,TB,2015.0,16.0,288.0,1402.0,6.0,44.0,33.0,271.0,1.0,215.8,13.5
DeAngelo Williams,PIT,2015.0,16.0,200.0,907.0,11.0,47.0,40.0,367.0,0.0,209.4,13.1
Lamar Miller,MIA,2015.0,16.0,194.0,872.0,8.0,57.0,47.0,397.0,2.0,208.4,13.0
Danny Woodhead,SD,2015.0,16.0,97.0,335.0,3.0,107.0,81.0,756.0,6.0,203.6,12.7
Todd Gurley,STL,2015.0,13.0,229.0,1108.0,10.0,26.0,21.0,188.0,0.0,198.1,15.2
David Johnson,ARI,2015.0,16.0,125.0,581.0,8.0,57.0,36.0,457.0,4.0,191.8,12.0
Matt Forte,CHI,2015.0,13.0,218.0,898.0,4.0,58.0,44.0,389.0,3.0,190.7,14.7
Chris Ivory,NYJ,2015.0,15.0,247.0,1070.0,7.0,37.0,30.0,217.0,1.0,187.7,12.5
Latavius Murray,OAK,2015.0,16.0,267.0,1066.0,6.0,53.0,41.0,232.0,0.0,184.3,11.5
Frank Gore,IND,2015.0,16.0,260.0,967.0,6.0,58.0,34.0,267.0,1.0,176.4,11.0
Mark Ingram,NO,2015.0,12.0,165.0,767.0,6.0,60.0,50.0,405.0,0.0,176.2,14.7
Darren McFadden,DAL,2015.0,16.0,239.0,1089.0,3.0,53.0,40.0,328.0,0.0,173.7,10.9
DeMarco Murray,PHI,2015.0,15.0,194.0,699.0,6.0,55.0,44.0,322.0,1.0,162.1,10.8
Jeremy Hill,CIN,2015.0,16.0,223.0,794.0,11.0,19.0,15.0,79.0,1.0,160.8,10.1
LeSean McCoy,BUF,2015.0,12.0,203.0,895.0,3.0,49.0,32.0,292.0,2.0,160.7,13.4
Giovani Bernard,CIN,2015.0,16.0,154.0,730.0,2.0,66.0,49.0,472.0,0.0,156.7,9.8
Jonathan Stewart,CAR,2015.0,13.0,242.0,989.0,6.0,21.0,16.0,99.0,1.0,154.8,11.9
Charles Sims,TB,2015.0,16.0,107.0,529.0,0.0,70.0,51.0,561.0,4.0,154.5,9.7
Rashad Jennings,NYG,2015.0,16.0,195.0,863.0,3.0,39.0,29.0,296.0,1.0,150.4,9.4
Ronnie Hillman,DEN,2015.0,16.0,207.0,863.0,7.0,35.0,24.0,111.0,0.0,149.4,9.3
James Starks,GB,2015.0,16.0,148.0,601.0,2.0,53.0,43.0,392.0,3.0,144.8,9.1
Theo Riddick,DET,2015.0,16.0,43.0,133.0,0.0,99.0,80.0,697.0,3.0,139.0,8.7
T.J. Yeldon,JAC,2015.0,12.0,182.0,740.0,2.0,46.0,36.0,279.0,1.0,137.9,11.5
Jeremy Langford,CHI,2015.0,15.0,148.0,537.0,6.0,42.0,22.0,279.0,1.0,134.6,9.0
Duke Johnson,CLE,2015.0,16.0,104.0,379.0,0.0,74.0,61.0,534.0,2.0,133.8,8.4
Eddie Lacy,GB,2015.0,15.0,187.0,758.0,3.0,28.0,20.0,188.0,2.0,130.6,8.7
Shane Vereen,NYG,2015.0,16.0,61.0,260.0,0.0,81.0,59.0,495.0,4.0,129.0,8.1
C.J. Anderson,DEN,2015.0,15.0,152.0,720.0,5.0,36.0,25.0,183.0,0.0,128.8,8.6
Isaiah Crowell,CLE,2015.0,16.0,185.0,706.0,4.0,22.0,19.0,182.0,1.0,128.3,8.0
Javorius Allen,BAL,2015.0,16.0,138.0,516.0,1.0,62.0,45.0,353.0,2.0,123.4,7.7
Thomas Rawls,SEA,2015.0,12.0,147.0,830.0,4.0,11.0,9.0,76.0,1.0,123.1,10.3
Charcandrick West,KC,2015.0,12.0,160.0,634.0,4.0,33.0,20.0,214.0,1.0,122.8,10.2
Darren Sproles,PHI,2015.0,16.0,83.0,317.0,3.0,83.0,55.0,388.0,1.0,122.0,7.6
LeGarrette Blount,NE,2015.0,12.0,165.0,703.0,6.0,7.0,6.0,43.0,1.0,119.6,10.0
Karlos Williams,BUF,2015.0,11.0,93.0,517.0,7.0,14.0,11.0,96.0,2.0,118.8,10.8
Ryan Mathews,PHI,2015.0,13.0,108.0,539.0,6.0,28.0,20.0,146.0,1.0,114.5,8.8
Bilal Powell,NYJ,2015.0,11.0,70.0,313.0,1.0,63.0,47.0,388.0,2.0,111.6,10.1
Justin Forsett,BAL,2015.0,10.0,151.0,641.0,2.0,41.0,31.0,153.0,0.0,106.9,10.7
Matt Jones,WAS,2015.0,13.0,144.0,490.0,3.0,25.0,19.0,304.0,1.0,104.9,8.1
Ameer Abdullah,DET,2015.0,16.0,143.0,598.0,2.0,38.0,25.0,183.0,1.0,104.6,6.5
Alfred Blue,HOU,2015.0,14.0,183.0,698.0,2.0,16.0,15.0,109.0,1.0,104.2,7.4
Chris Johnson,ARI,2015.0,11.0,196.0,814.0,3.0,12.0,6.0,58.0,0.0,104.2,9.5
James White,NE,2015.0,12.0,22.0,56.0,2.0,54.0,40.0,410.0,4.0,102.6,8.6
Dion Lewis,NE,2015.0,7.0,49.0,234.0,2.0,50.0,36.0,388.0,2.0,102.2,14.6
Le'Veon Bell,PIT,2015.0,6.0,113.0,556.0,3.0,26.0,24.0,136.0,0.0,99.2,16.5
Antonio Andrews,TEN,2015.0,14.0,143.0,520.0,3.0,29.0,21.0,174.0,0.0,95.9,6.9
Joique Bell,DET,2015.0,13.0,90.0,311.0,4.0,27.0,22.0,286.0,0.0,94.7,7.3
Alfred Morris,WAS,2015.0,16.0,202.0,763.0,1.0,13.0,10.0,55.0,0.0,92.8,5.8
Melvin Gordon,SD,2015.0,14.0,184.0,641.0,0.0,37.0,33.0,192.0,0.0,91.8,6.6
Jamaal Charles,KC,2015.0,5.0,71.0,364.0,4.0,30.0,21.0,177.0,1.0,90.6,18.1
Tim Hightower,NO,2015.0,6.0,96.0,375.0,4.0,13.0,12.0,129.0,0.0,80.4,13.4
Spencer Ware,KC,2015.0,9.0,72.0,403.0,6.0,6.0,6.0,5.0,0.0,79.8,8.9
Kyle Juszczyk,BAL,2015.0,16.0,2.0,3.0,0.0,56.0,41.0,321.0,4.0,76.9,4.8
Carlos Hyde,SF,2015.0,7.0,115.0,470.0,3.0,15.0,11.0,53.0,0.0,75.8,10.8
Chris Thompson,WAS,2015.0,13.0,35.0,216.0,0.0,47.0,35.0,240.0,2.0,75.1,5.8
Marshawn Lynch,SEA,2015.0,7.0,111.0,417.0,3.0,21.0,13.0,80.0,0.0,74.2,10.6
Dexter McCluster,TEN,2015.0,11.0,55.0,247.0,1.0,41.0,31.0,260.0,1.0,74.2,6.7
Mike Tolbert,CAR,2015.0,16.0,62.0,256.0,1.0,23.0,18.0,154.0,3.0,74.0,4.6
Jerick McKinnon,MIN,2015.0,16.0,52.0,271.0,2.0,29.0,21.0,173.0,1.0,72.9,4.6
Jonathan Grimes,HOU,2015.0,13.0,56.0,282.0,1.0,31.0,26.0,173.0,1.0,70.5,5.4
Joseph Randle,DAL,2015.0,6.0,76.0,313.0,4.0,10.0,10.0,87.0,0.0,69.0,11.5
Andre Ellington,ARI,2015.0,10.0,45.0,289.0,3.0,24.0,15.0,148.0,0.0,67.2,6.7
Arian Foster,HOU,2015.0,4.0,63.0,163.0,1.0,28.0,22.0,227.0,2.0,66.0,16.5
